Banda;Palco;DiaI;Inicio;DiaF;Fim;MB
Aborym;;;;;;
Acranius;HEADBANGERS STAGE;2019-08-01;14:20;2019-08-01;15:25;
Acres;W:E:T STAGE;2019-08-01;11:55;2019-08-01;12:40;
Airbourne;FASTER;2019-08-01;20:00;2019-08-01;21:30;
Alabama Black Snakes;WASTELAND STAGE;2019-08-03;12:00;2019-08-03;12:45;
All Hail The Yeti;HISTORY STAGE;2019-08-02;18:15;2019-08-02;19:00;
Angelus Apatrida;WASTELAND STAGE;2019-07-31;17:15;2019-07-31;18:00;
Anthrax;FASTER;2019-08-02;18:00;2019-08-02;19:15;
Metal Battle Winner Slovakia - April Weeps;HISTORY STAGE;2019-07-31;11:00;2019-07-31;11:30;SIM
Asrock;;;;;;
Metal Battle Winner Central America - Athica;HISTORY STAGE;2019-08-02;12:00;2019-08-02;12:30;
Avatar;LOUDER;2019-08-03;20:30;2019-08-03;21:45;
Axxis;W:E:T STAGE;2019-07-31;15:00;2019-07-31;16:00;
Baby Face Nelson;WASTELAND STAGE;2019-08-01;11:00;2019-08-01;11:45;
Bai Bang;BEERGARDEN STAGE;2019-08-01;20:00;2019-08-01;21:00;
Battle Beast;FASTER;2019-08-03;14:30;2019-08-03;15:30;
Beyond The Black;HARDER;2019-08-01;15:45;2019-08-01;16:45;
Black Stone Cherry;FASTER;2019-08-02;15:25;2019-08-02;16:25;
Bleed From Within;HEADBANGERS STAGE;2019-08-03;11:00;2019-08-03;11:45;
Bloodywood;W:E:T STAGE;2019-08-01;13:45;2019-08-01;14:30;
Body Count feat. Ice-T;HARDER;2019-08-02;16:35;2019-08-02;17:50;
Brass Against;BEERGARDEN STAGE;2019-08-03;17:00;2019-08-03;17:45;
Brenner;BEERGARDEN STAGE;2019-07-31;12:00;2019-07-31;12:30;
Bullet for My Valentine;HARDER;2019-08-03;18:45;2019-08-03;20:15;
Cancer;WASTELAND STAGE;2019-07-31;22:15;2019-07-31;23:00;
Cesair;WACKINGER STAGE;2019-07-31;18:30;2019-07-31;19:15;
